Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.860000,-100.740000,90.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.780000,-104.140000,180.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.582500,-92.710000,180.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.927500,-90.170000,0.000000,top
"C5","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.860000,-105.177500,-90.000000,top
"C6","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.075000,-89.937500,90.000000,top
"C7","1u","C_0504_1310Metric_Pad0.83x1.28mm_HandSolder",152.885000,-90.170000,90.000000,top
"C8","1u","C_0504_1310Metric_Pad0.83x1.28mm_HandSolder",152.400000,-100.972500,90.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.620000,-101.367500,-90.000000,top
"C10","10p","C_0504_1310Metric_Pad0.83x1.28mm_HandSolder",123.832500,-102.870000,180.000000,top
"C11","10p","C_0504_1310Metric_Pad0.83x1.28mm_HandSolder",127.000000,-97.050000,90.000000,top
"C12","22u","C_0504_1310Metric_Pad0.83x1.28mm_HandSolder",174.562500,-99.112500,-90.000000,top
"C13","22u","C_0504_1310Metric_Pad0.83x1.28mm_HandSolder",154.940000,-100.957500,90.000000,top
"D1","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",158.317500,-101.600000,180.000000,top
"FB1","120R","L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",150.737500,-93.980000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex_47346-0001",180.340000,-96.520000,90.000000,top
"PORTA","PORTA","PinHeader_1x11_P2.54mm_Vertical",129.540000,-110.490000,90.000000,top
"PORTB","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",143.510000,-82.550000,-90.000000,top
"PORTC","PORTC","PinHeader_1x03_P2.54mm_Vertical",111.760000,-93.995000,0.000000,top
"R1","10k","R_0603_1608Metric",137.160000,-87.185000,-90.000000,top
"R2","1k5","R_0603_1608Metric",156.655000,-94.805000,-90.000000,top
"R3","1k5","R_0603_1608Metric",158.750000,-99.060000,180.000000,top
"SW1","SW_SPDT","PinHeader_1x03_P1.00mm_Vertical",129.810000,-87.630000,90.000000,top
"SWD","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",154.930000,-82.550000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",142.240000,-97.790000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",166.370000,-101.652500,90.000000,top
"Y1","16MHz","Crystal_SMD_EuroQuartz_MT-4Pin_3.2x2.5mm",125.900000,-99.960000,0.000000,top
